Id,sleep_date,minutes_asleep,hours_asleep
1503960366,2016-03-13,411,6.85
1503960366,2016-03-14,354,5.9
1503960366,2016-03-15,312,5.2
1503960366,2016-03-16,333,5.55
1503960366,2016-03-17,402,6.7
1503960366,2016-03-18,379,6.32
1503960366,2016-03-19,447,7.45
1503960366,2016-03-20,469,7.82
1503960366,2016-03-21,390,6.5
1503960366,2016-03-23,281,4.68
1503960366,2016-03-24,303,5.05
1503960366,2016-03-25,351,5.85
1503960366,2016-03-26,437,7.28
1503960366,2016-03-27,483,8.05
1503960366,2016-03-28,73,1.22
1503960366,2016-03-29,349,5.82
1503960366,2016-03-31,308,5.13
1503960366,2016-04-01,283,4.72
1503960366,2016-04-02,439,7.32
1503960366,2016-04-03,379,6.32
1503960366,2016-04-04,294,4.9
1503960366,2016-04-05,280,4.67
1503960366,2016-04-09,380,6.33
1503960366,2016-04-10,455,7.58
1503960366,2016-04-11,310,5.17
1644430081,2016-03-27,373,6.22
1644430081,2016-03-28,466,7.77
1644430081,2016-03-29,56,0.93
1644430081,2016-03-30,538,8.97
1844505072,2016-04-03,169,2.82
1844505072,2016-04-04,771,12.85
1844505072,2016-04-09,221,3.68
1844505072,2016-04-10,277,4.62
1927972279,2016-03-11,29,0.48
1927972279,2016-03-12,608,10.13
1927972279,2016-03-13,505,8.42
1927972279,2016-03-14,173,2.88
1927972279,2016-03-15,68,1.13
1927972279,2016-03-16,599,9.98
1927972279,2016-03-17,6,0.1
1927972279,2016-03-18,523,8.72
1927972279,2016-03-19,583,9.72
1927972279,2016-03-20,548,9.13
1927972279,2016-03-21,334,5.57
1927972279,2016-03-22,379,6.32
1927972279,2016-03-23,447,7.45
1927972279,2016-03-24,428,7.13
1927972279,2016-03-25,60,1.0
1927972279,2016-03-26,387,6.45
1927972279,2016-03-27,112,1.87
1927972279,2016-03-28,219,3.65
1927972279,2016-03-29,563,9.38
1927972279,2016-03-30,401,6.68
1927972279,2016-03-31,493,8.22
1927972279,2016-04-01,369,6.15
1927972279,2016-04-02,280,4.67
1927972279,2016-04-03,107,1.78
1927972279,2016-04-04,465,7.75
1927972279,2016-04-05,393,6.55
1927972279,2016-04-06,414,6.9
1927972279,2016-04-09,39,0.65
1927972279,2016-04-10,479,7.98
1927972279,2016-04-11,496,8.27
1927972279,2016-04-12,482,8.03
2022484408,2016-03-13,135,2.25
2026352035,2016-03-11,126,2.1
2026352035,2016-03-12,540,9.0
2026352035,2016-03-13,648,10.8
2026352035,2016-03-14,510,8.5
2026352035,2016-03-15,422,7.03
2026352035,2016-03-16,144,2.4
2026352035,2016-03-17,479,7.98
2026352035,2016-03-18,575,9.58
2026352035,2016-03-19,515,8.58
2026352035,2016-03-20,545,9.08
2026352035,2016-03-21,567,9.45
2026352035,2016-03-22,520,8.67
2026352035,2016-03-23,562,9.37
2026352035,2016-03-24,531,8.85
2026352035,2016-03-25,495,8.25
2026352035,2016-03-26,579,9.65
2026352035,2016-03-27,545,9.08
2026352035,2016-03-28,510,8.5
2026352035,2016-03-29,482,8.03
2026352035,2016-03-30,468,7.8
2026352035,2016-03-31,524,8.73
2026352035,2016-04-01,514,8.57
2026352035,2016-04-02,528,8.8
2026352035,2016-04-03,534,8.9
2026352035,2016-04-04,493,8.22
2026352035,2016-04-05,531,8.85
2026352035,2016-04-06,465,7.75
2026352035,2016-04-07,540,9.0
